year,city,state,shape,latitude,longitude
1910,Kirksville (Near),MO,Disk,40.1947222,-92.5830556
1936,Eklutna,AK,Cylinder,61.4580556,-149.3622222
1943,Owensboro,KY,Rectangle,37.7741667,-87.1133333
1944,San Diego,CA,Cylinder,32.7152778,-117.1563889
1947,Conroe,TX,Other,30.3116667,-95.4558333
1949,San Marcos,TX,Cylinder,29.8830556,-97.9411111
1949,Baltimore,MD,Cylinder,39.2902778,-76.6125
1950,Pikeville,KY,Disk,37.4791667,-82.5188889
1952,Kansas City,MO,Disk,39.0997222,-94.5783333
1952,Richland,WA,Sphere,46.2858333,-119.2833333
1953,Mauriceville,TX,Disk,30.2033333,-93.8661111
1953,New Orleans,LA,Sphere,29.9544444,-90.075
1953,Cicero,IL,Other,41.8455556,-87.7538889
1953,Keansburg,NJ,Sphere,40.4416667,-74.1302778
1953,Pendleton (2-2 1/2 Mi. Se Of),IN,Disk,39.9975,-85.7466667
1954,Flatwoods,WV,Sphere,38.7230556,-80.65
1954,Blanco,TX,Other,30.0977778,-98.4211111
1954,Manistee,MI,Sphere,44.2444444,-86.3241667
1954,Denver,CO,Sphere,39.7391667,-104.9841667
1954,Thelma (South Of),TX,Disk,31.5830556,-96.6108333
1955,Rhinebeck,NY,Formation,41.9266667,-73.9130556
1956,Edna,TX,Sphere,28.9783333,-96.6458333
1956,Newport,NH,Rectangle,43.3652778,-72.1738889
1956,Aberdeen,SD,Sphere,45.4647222,-98.4861111
1956,Weirton,WV,Disk,40.4188889,-80.5897222
1957,Nelchina (Near),AK,Other,61.9919444,-146.7686111
1957,Paterson,NJ,Disk,40.9166667,-74.1722222
1957,Houston (Ellington Afb),TX,Formation,29.7630556,-95.3630556
1957,Commerce City (N. Of Denver),CO,Sphere,39.8083333,-104.9333333
1957,St. Paul,MN,Formation,44.9444444,-93.0930556
1957,Teaneck,NJ,Cylinder,40.8975,-74.0163889
1957,Corpus Christi,TX,Formation,27.8002778,-97.3961111
1957,Dallas,TX,Other,32.7833333,-96.8
1958,St. Paul,MN,Other,44.9444444,-93.0930556
1958,Terrebonne,OR,Other,44.3530556,-121.1766667
1958,Riverside,IL,Formation,41.835,-87.8227778
1958,Greenville,RI,Disk,41.8711111,-71.5525
1958,Pep,TX,Sphere,33.8161111,-102.5577778
1959,Jacksonville,IL,Other,39.7338889,-90.2288889
1959,Marysville,WA,Other,48.0519444,-122.1758333
1959,Four States,WV,Sphere,39.4797222,-80.31
1959,South San Francisco,CA,Disk,37.6547222,-122.4066667
1959,Starke,FL,Sphere,29.9438889,-82.11
1959,Lafayette,IN,Sphere,40.4166667,-86.8752778
1960,Kaneohe,HI,Formation,21.4180556,-157.8036111
1960,Sumner (Lake Tapps Area),WA,Sphere,47.2033333,-122.2391667
1960,Kansas City,KS,Other,39.1141667,-94.6272222
1960,Westbury,NY,Disk,40.7555556,-73.5880556
1961,Bristol,TN,Sphere,36.595,-82.1888889
1961,Toledo,OH,Sphere,41.6638889,-83.5552778
1961,Tulsa,OK,Disk,36.1538889,-95.9925
1961,Nashville,TN,Disk,36.1658333,-86.7844444
1961,Graham,NC,Pyramid,36.0688889,-79.4008333
1961,Indialantic,FL,Sphere,28.0891667,-80.5658333
1961,Bakersfield,CA,Sphere,35.3733333,-119.0177778
1961,Santa Clara,CA,Sphere,37.3541667,-121.9541667
1961,Kendallville,IN,Sphere,41.4413889,-85.265
1962,Chicago,IL,Other,41.85,-87.65
1962,Valparaiso,FL,Cylinder,30.5083333,-86.5027778
1962,Runge,TX,Sphere,28.8830556,-97.7127778
1962,Key West,FL,Sphere,24.5552778,-81.7827778
1963,New York City (Richmond Hills) (Queens),NY,Sphere,40.7141667,-74.0063889
1963,Prince George,VA,Disk,37.2202778,-77.2883333
1963,Millington,NJ,Disk,40.6772222,-74.5180556
1963,Laurel,MS,Sphere,31.6938889,-89.1305556
1963,Helena (Near),MT,Diamond,46.5927778,-112.0352778
1964,Columbus,OH,Cylinder,39.9611111,-82.9988889
